Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,313,5,Apr 9,BOS,,KCR,"W,8-4",GS-5,W(1-0),99,5.0,5,4,4,0,4,1,0,7.20,21,78,56,17,8,9,8,2,0,0,45,,,1,0,0,21,0,0,0,0,0,1,.82,-0.038,.90,-0.03%,-1.20, 1t start tie, 5t 3 out a1
2,314,10,Apr 14,BOS,,NYY,"L,2-6",GS-6,L(1-1),4,6.0,4,2,1,2,7,1,0,4.09,24,96,62,23,11,4,11,3,1,0,63,,,1,0,0,21,0,0,0,0,1,0,.85,0.078,1.12,0.06%,1.36, 1t start tie, 6t 3 out d2
3,315,15,Apr 21(1),BOS,@,KCR,"W,12-2",6-GF,S(1),6,4.0,0,0,0,0,2,0,0,3.00,12,40,27,9,5,6,4,1,2,0,,0,0,0,0,0,12,0,0,0,0,0,0,.38,0.121,.46,0.09%,2.39, 6b --- 0 out a2, 9b end a10
4,316,18,Apr 24,BOS,@,BAL,"L,3-5",5-7,,2,2.1,2,1,1,1,1,0,0,3.12,10,27,18,4,3,3,5,2,0,0,,2,0,0,0,0,9,0,0,0,0,0,0,.63,-0.006,.84,-0.01%,0.48, 5b 12- 2 out d2, 7b 3 out d3
5,317,22,Apr 29,BOS,,BAL,"L,3-5",7-GF,,4,3.0,2,1,1,1,2,1,0,3.10,11,38,25,7,5,4,4,1,0,0,,0,0,0,0,0,10,1,0,0,1,0,0,.47,0.000,.65,0.00%,0.68, 7t --- 0 out d2, 9t end d 2
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
6,318,28,May 6,BOS,@,TBD,"W,5-3",7-GF,S(2),6,3.0,1,0,0,1,1,0,0,2.70,11,38,23,6,5,5,4,1,0,0,,0,0,0,0,0,10,0,0,0,1,0,0,2.69,0.275,3.24,0.20%,1.58, 7b --- 0 out a2, 9b end a 2
7,319,31,May 9,BOS,@,OAK,"W,5-1",9-GF,,2,1.0,0,0,0,0,0,0,0,2.59,3,11,8,1,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.020,.27,0.01%,0.53, 9b --- 0 out a4, 9b end a 4
8,320,33,May 11,BOS,@,SEA,"L,1-3",2-7,,1,5.1,3,1,1,5,6,0,1,2.43,23,96,56,17,12,4,7,5,0,0,,3,0,2,1,0,17,0,0,0,0,0,0,.75,0.123,.78,0.08%,2.43, 2b 123 2 out d2, 7b 3 out d3
9,321,37,May 16,BOS,,OAK,"L,0-5",7-8,,4,2.0,3,2,1,0,3,0,1,2.56,11,39,28,6,4,3,4,3,0,0,,0,0,0,0,0,10,2,0,0,0,0,0,.29,-0.066,.28,-0.04%,-0.88, 7t --- 0 out d3, 8t 3 out d5
10,322,40,May 19,BOS,,SEA,"W,3-2",6-8,H(1),2,3.0,2,0,0,1,4,0,0,2.34,11,41,24,12,3,3,3,3,0,0,,0,0,2,0,0,10,0,0,0,1,0,0,1.96,0.311,2.21,0.21%,1.68, 6t --- 0 out a1, 8t 3 out a1
11,323,44,May 23,BOS,,NYY,"W,3-1",8-8,H(2),3,1.0,0,0,0,0,1,0,0,2.27,3,9,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.03,0.082,1.38,0.07%,0.56, 8t --- 0 out a2, 8t 3 out a2
12,324,45,May 24,BOS,,NYY,"W,9-8",8-8,BS(1),0,1.0,0,1,0,3,1,0,0,2.21,6,32,16,3,4,1,1,0,0,0,,0,0,0,0,0,2,0,0,1,0,1,0,2.97,-0.119,3.75,-0.09%,-0.44, 8t --- 0 out a1, 8t 3 out tie
13,325,47,May 26,BOS,,NYY,"L,5-14",5-7,,1,3.0,4,2,2,2,2,2,0,2.50,13,45,21,3,3,5,4,2,0,0,,1,1,0,0,0,11,0,0,0,2,0,0,.35,-0.072,.45,-0.06%,-0.92, 5t 1-- 0 out d4, 7t 3 out d4
14,326,49,May 28,BOS,@,TOR,"W,6-4",7-8,W(2-1),1,2.0,1,0,0,3,1,0,0,2.38,10,45,22,8,5,2,4,1,1,0,,0,0,0,0,0,7,1,0,1,0,0,0,2.05,0.207,2.17,0.13%,1.13, 7b --- 0 out tie, 8b 3 out tie
15,327,51,May 31,BOS,@,NYY,"W,5-2",7-8,H(3),2,2.0,0,0,0,1,2,0,0,2.27,7,36,20,4,6,1,3,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,.81,0.129,.93,0.09%,1.09, 7b --- 0 out a1, 8b 3 out a5
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
16,328,54,Jun 3,BOS,@,DET,"L,6-7",7-GF(10),BL(2-2),2,3.1,4,3,3,1,2,1,0,2.68,15,55,38,8,6,4,8,2,0,0,,0,0,0,0,0,14,1,0,0,0,0,0,2.18,-0.458,1.82,-0.23%,-1.68, 7b --- 0 out a2,10b end d 1
17,329,57,Jun 6,BOS,@,DET,"W,4-3",8-8,,2,1.0,0,0,0,0,1,0,0,2.63,4,20,15,5,1,0,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,1,.72,0.028,.56,0.01%,0.50, 8b --- 0 out a4, 8b 3 out a4
