Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,97,2,Apr 3,BOS,@,ANA,"L,0-2",GS-8,L(0-1),99,7.1,6,2,2,2,1,0,0,2.45,27,95,63,14,4,7,17,7,3,0,57,,,0,0,0,25,1,0,0,2,0,0,1.06,0.235,1.10,0.15%,2.95, 1b start tie, 8b 1-- 1 out d1
2,98,7,Apr 8,BOS,@,OAK,"W,13-7",GS-3,,4,2.2,7,6,6,1,1,1,0,7.20,16,74,43,17,2,0,14,7,5,0,20,,,1,0,0,15,2,1,0,0,0,0,.86,-0.481,.87,-0.29%,-4.65, 1b start a 1, 3b 1-- 2 out d2
3,99,12,Apr 14,BOS,,OAK,"W,10-1",GS-7,W(1-1),5,7.0,1,0,0,1,2,0,0,4.24,23,76,49,15,5,8,12,2,3,0,76,,,0,0,0,22,1,0,0,0,0,0,.45,0.208,.44,0.12%,3.96, 1t start tie, 7t 3 out a7
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
4,100,32,May 8,BOS,,MIN,"L,7-10",GS-6,,23,5.0,4,3,3,3,8,0,1,4.50,23,93,51,18,13,6,5,4,1,0,52,,,2,0,0,19,1,1,0,1,0,1,1.06,0.016,1.00,0.01%,0.48, 1t start tie, 6t 1-3 0 out a3
5,101,37,May 14,BOS,@,KCR,"L,2-6",GS-7,L(1-2),5,6.1,5,4,3,6,3,0,1,4.45,27,93,50,12,11,8,9,2,4,0,46,,,3,3,0,20,0,0,0,1,0,0,1.16,0.088,.68,0.03%,1.28, 1b start tie, 7b 123 1 out tie
6,102,41,May 20,BOS,@,CHW,"L,1-10",GS-4,L(1-3),5,3.1,7,6,6,3,3,0,0,5.68,20,80,47,14,7,6,8,5,2,0,22,,,2,0,0,17,4,0,1,0,0,0,.77,-0.251,.34,-0.07%,-3.58, 1b start tie, 4b -2- 1 out d5
7,103,46,May 26,BOS,,MIL,"W,3-2",GS-8,,5,8.0,8,2,2,2,8,1,1,4.99,31,,,,,10,4,0,2,6,64,,,2,1,1,28,0,0,0,2,0,0,.99,0.149,.41,0.04%,2.53, 1t start tie, 8t 3 out d2
8,104,51,May 31,BOS,,NYY,"L,2-7",GS-7,L(1-4),4,7.0,6,5,5,5,4,2,1,5.21,33,115,71,24,11,11,12,7,1,0,44,,,2,0,0,27,1,0,0,0,0,0,.99,-0.104,.63,-0.04%,-1.04, 1t start tie, 7t 3 out d5
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
9,105,56,Jun 5,BOS,@,MIL,"W,2-1",GS-9,W(2-4),4,8.2,7,1,0,7,10,0,1,4.39,39,169,97,29,15,9,12,6,2,0,71,,,1,3,0,30,1,0,1,0,0,0,1.88,0.588,.51,0.10%,3.57, 1b start tie, 9b 12- 2 out a1
10,106,61,Jun 10(2),BOS,,BAL,"L,2-4",GS-6,L(2-5),4,5.0,7,4,4,1,5,2,0,4.62,23,,,,,4,6,0,0,7,41,,,0,0,0,22,1,1,0,0,0,0,.65,-0.159,.12,-0.02%,-1.57, 1t start tie, 6t 1-- 0 out d2
11,107,65,Jun 14,BOS,@,NYM,"L,2-5",GS-5,L(2-6),3,4.2,9,4,4,1,3,1,0,4.85,22,,,,,4,6,0,0,8,32,,,0,1,0,21,2,0,1,0,0,0,1.00,-0.101,.23,-0.01%,-1.01, 1b start tie, 5b 1-3 2 out d3
12,108,70,Jun 20,BOS,@,DET,"L,6-12",GS-3,L(2-7),5,2.1,6,6,6,1,2,2,0,5.48,14,48,32,6,8,2,9,5,1,0,22,,,0,0,0,13,3,0,0,0,0,0,1.07,-0.495,.37,-0.10%,-4.65, 1b start tie, 3b --- 1 out d1
13,109,75,Jun 25,BOS,@,TOR,"W,13-12",GS-6,W(3-7),4,5.2,4,6,5,5,5,0,2,5.67,28,,,,,4,11,3,5,1,39,,,2,0,0,21,1,0,0,0,0,0,1.08,-0.005,.41,0.00%,-1.34, 1b start a 1, 6b -23 2 out a3
14,110,80,Jun 30,BOS,,FLA,"L,5-8",GS-7,L(3-8),4,6.2,7,7,2,7,4,0,0,5.42,33,,,,,5,10,0,1,7,39,,,0,0,0,25,1,0,0,1,1,1,.92,-0.345,.22,-0.05%,-2.86, 1t start tie, 7t 123 2 out d2
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
