Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,1,103,Jul 31,PIT,,STL,"W,3-2",CG,W(1-0),99,9.0,6,2,0,5,10,0,0,0.00,38,146,80,20,18,6,17,7,2,0,76,,,0,1,0,32,2,0,0,0,1,1,1.62,0.464,5.67,0.97%,1.88, 1t start tie, 9t 3 out a1
2,2,107,Aug 5,PIT,,NYM,"W,6-2",GS-8,W(2-0),4,8.0,7,2,2,4,7,0,0,1.06,35,144,78,26,10,7,17,6,3,0,63,,,1,0,0,30,0,0,0,1,1,0,.86,0.183,3.26,0.42%,1.45, 1t start tie, 8t 3 out a4
3,3,112,Aug 10,PIT,@,NYM,"W,4-2",GS-8,,4,8.0,3,1,1,5,5,0,0,1.08,30,123,70,21,14,9,11,4,4,0,72,,,0,2,0,23,1,0,0,0,0,0,1.24,0.273,3.75,0.49%,2.41, 1b start tie, 8b 3 out tie
4,4,117,Aug 16,PIT,,ATL,"W,4-2",CG,W(3-0),5,9.0,7,2,2,2,3,0,0,1.32,35,114,80,21,7,13,17,3,3,0,66,,,1,1,0,32,1,0,0,0,0,0,1.29,0.560,4.20,1.09%,1.88, 1t start tie, 9t 3 out a2
5,5,122,Aug 21,PIT,@,SFG,"L,5-6",GS-6,L(3-1),4,6.0,8,6,6,4,4,1,0,2.48,28,88,54,14,8,12,8,2,1,0,32,,,0,1,0,22,1,0,0,1,0,0,1.41,-0.540,3.73,-0.86%,-3.54, 1b start tie, 6b 3 out d3
6,6,127,Aug 26,PIT,@,LAD,"W,2-0",SHO,W(4-1),4,9.0,6,0,0,2,3,0,0,2.02,32,107,66,16,11,13,14,6,2,0,76,,,1,1,2,30,0,0,0,0,0,0,1.25,0.558,4.18,1.12%,3.84, 1b start tie, 9b 3 out a2
7,7,132,Sep 2,PIT,,SFG,"W,3-2",GS-9,W(5-1),6,8.2,9,2,2,3,3,1,1,2.03,38,129,91,18,20,18,13,2,2,0,58,,,0,0,0,34,2,0,0,0,0,0,1.40,0.234,4.61,0.46%,1.55, 1t start tie, 9t --3 2 out a1
8,8,137,Sep 7,PIT,,CHC,"L,5-6",GS-3,,4,2.1,7,3,3,0,0,0,0,2.40,13,44,32,6,6,3,10,5,0,0,31,,,0,1,0,13,2,1,0,0,0,0,.92,-0.286,2.45,-0.46%,-2.83, 1t start tie, 3t 1-3 1 out d2
9,9,142,Sep 13,PIT,@,PHI,"L,3-6",GS-7,,5,7.0,7,3,3,2,4,0,0,2.55,28,83,60,16,8,11,11,7,2,0,53,,,1,0,1,25,1,1,0,0,1,0,.63,-0.100,1.46,-0.14%,0.02, 1b start tie, 7b 3 out d1
10,10,147,Sep 18,PIT,,PHI,"W,5-2",CG(6),W(6-1),4,6.0,6,2,1,5,3,0,0,2.47,29,112,66,23,12,7,14,3,4,0,52,,,0,0,0,24,1,0,1,0,0,0,1.45,0.009,3.33,0.01%,0.59, 1t start tie, 6t 3 out a3
11,11,152,Sep 23,PIT,@,MON,"L,1-5",GS-7,,4,7.0,5,0,0,1,4,0,0,2.25,25,83,53,15,8,11,10,5,2,0,70,,,0,1,0,23,1,0,0,1,0,0,1.34,0.415,.28,0.05%,3.02, 1b start tie, 7b 3 out tie
12,12,157,Sep 28,PIT,@,CHC,"W,10-3",GS-7,W(7-1),4,7.0,4,3,2,1,2,1,0,2.28,25,71,47,13,4,8,14,4,2,0,60,,,0,0,0,23,0,0,0,1,1,0,.57,-0.028,.00,0.00%,0.11, 1b start tie, 7b 3 out a7
13,13,162,Oct 4,PIT,@,NYM,"W,2-0",GS-5,W(8-1),5,5.0,1,0,0,1,3,0,0,2.15,17,59,37,8,5,6,7,2,2,0,67,,,0,1,0,16,0,0,0,0,0,0,.88,0.262,.00,0.00%,2.13, 1b start tie, 5b 3 out tie
